-52,18,-79,-94,367,-1265,-775,-6,-7
-50,19,-79,-165,575,-1506,-855,17,-13
-48,20,-77,-188,676,-1611,-940,21,-11
-47,21,-74,-466,1085,-1435,-1016,41,-20
-48,25,-73,-1069,1585,-905,-1065,70,-41
-53,28,-78,-1577,1755,-149,-1073,81,-65
-60,26,-81,-1368,710,225,-1061,39,-62
-61,22,-84,-1162,-30,122,-1055,0,-61
-57,18,-82,-678,-401,-266,-1069,-22,-43
-53,20,-75,-438,-276,-383,-1089,-14,-24
-70,25,-70,-963,187,-704,-1127,43,-43
-101,23,-79,-2092,1972,-3307,-1302,164,-117
-124,18,-116,-30,646,-8255,-1748,80,-28
-102,25,124,4177,-6671,-11168,-2340,-328,195
-58,36,-124,8870,-14625,-13360,-3048,-785,458
-39,38,-77,12092,-12830,-11232,-3643,-693,658
-53,33,-33,6615,-11339,-10340,-4201,-531,403
-38,4,-24,2046,-8707,-8670,-4661,-353,73
-94,-34,-20,-1487,-2372,-6393,-5000,9,-205
-114,-62,-17,-1997,-2835,-6798,-5360,-40,-265
-119,-25,-9,-6222,104,-8921,-5842,176,-421
-82,-39,-37,-12062,-51,-12472,-6503,84,-759
-89,-18,-31,-9313,3533,-11590,-7117,313,-569
-40,-24,-62,-13211,-1814,-9937,-7644,-106,-797
-55,-15,-67,-11301,-106,-7572,-8053,11,-677
6,-7,-91,-9122,64,-1091,-8110,-152,-526
-47,11,-86,-7043,464,-354,-8128,0,-382
-18,-3,-96,-4416,947,-545,-8157,-47,-284
-30,-8,-88,-781,453,-721,-8196,-39,-112
-33,-14,-88,1273,-2414,78,-8192,-178,-22
-32,-15,-91,4728,-1917,1538,-8111,-158,151
-28,-14,-85,8198,-4030,2800,-7962,-270,328
-28,-20,-71,9241,-1930,3584,-7769,-153,368
-48,-22,-60,10489,-235,4833,-7512,-1,415
-49,-20,-47,11093,28,5757,-7207,37,445
-69,-24,-38,11712,-78,5717,-6904,84,474
-71,-30,-30,11131,-607,7113,-6520,65,438
-67,-27,-22,8902,1604,6410,-6180,193,317
-110,-24,-16,5217,3337,4509,-5941,332,165
-98,-53,-24,5820,5801,2463,-5811,393,133
-95,-64,-55,-3110,3222,2217,-5691,222,-334
-121,-67,-77,-2120,4753,4176,-5470,301,-260
-111,-64,-67,1289,2517,1013,-5416,190,-90
-81,-53,-55,2084,1612,2760,-5270,130,-58
-75,-63,-64,2591,2354,5267,-4985,143,-47
-73,-65,-69,3536,1602,6960,-4616,93,-3
-74,-60,-62,4683,2483,9198,-4129,149,57
-64,-59,-71,4834,3827,8005,-3704,195,67
-90,-28,-68,4923,4556,7084,-3322,301,147
-65,-51,-83,5328,1158,7682,-2915,54,116
-82,7,-56,9248,-1111,11933,-2282,26,436
-56,2,-64,1068,1502,6596,-1933,102,9
-73,6,-49,4918,-2405,6675,-1572,-39,218
-57,16,-36,-1023,215,4872,-1314,95,-50
-64,18,-33,-3107,1420,4127,-1095,170,-152
-59,21,-48,-6540,1170,2008,-989,115,-322
-53,17,-80,-2846,1514,2459,-858,70,-154
-81,23,-72,1656,3001,343,-840,201,80
-83,17,-58,2565,-286,99,-835,63,118
-82,14,-58,3109,-2852,1021,-781,-68,139
-76,23,-62,2859,-1062,-1055,-838,2,150
-84,27,-59,2489,-304,-2606,-976,54,135
-80,38,-49,-1936,-4097,-6796,-1336,-138,-62
-61,27,-49,1063,-3041,-6877,-1701,-102,78
-65,6,-40,326,-5291,-9623,-2220,-181,-16
-37,-15,-34,-611,-1903,-8932,-2694,-54,-150
-54,-26,-30,-2284,-1466,-6840,-3056,1,-258
-57,-42,-41,-4716,341,-4246,-3281,56,-415
-67,-44,-55,-7603,369,-6086,-3610,54,-553
-74,-52,-60,-9234,1165,-2789,-3758,93,-635
-72,-37,-77,-7055,-2314,-1096,-3816,-95,-488
-81,-36,-97,-7814,1696,-346,-3834,100,-513
-97,-26,-90,-5446,-899,-1690,-3926,-1,-379
-79,-50,-75,-4062,2727,1798,-3830,165,-356
-110,-46,-76,-2550,-256,1037,-3775,52,-257
-87,-29,-73,359,-2520,-1594,-3860,-75,-90
-77,-17,-61,915,-1382,-1714,-3952,-7,-43
-86,-19,-60,380,-1434,-2263,-4072,3,-73
-101,-30,-59,741,-985,-2801,-4221,37,-71
-116,-34,-51,90,-353,-4156,-4441,92,-108
-124,-27,-45,-1816,-2238,-6433,-4788,13,-192
-101,-16,-51,-3884,-261,-5957,-5104,96,-281
-87,-3,-60,-7644,365,-10704,-5672,100,-447
-74,-2,-65,-7586,3520,-8015,-6096,235,-443
-69,-4,-63,-7063,1865,-12696,-6782,148,-428
-40,-18,-69,-4727,34,-9953,-7309,-18,-342
-33,-7,-71,-5897,-1153,-7554,-7710,-98,-374
-27,-23,-72,-3358,-2561,506,-7683,-189,-288
-24,-2,-61,-3512,-3338,-1009,-7737,-223,-240
-31,-6,-69,-2041,340,4103,-7515,-23,-176
-27,1,-83,-6061,-42,535,-7487,-67,-356
-56,-9,-89,-3610,1380,821,-7443,60,-256
-54,-14,-89,-1062,-113,-130,-7450,-19,-136
-58,-10,-93,2053,-1258,-152,-7458,-75,33
-49,-10,-98,3022,-2570,-459,-7483,-162,81
-55,0,-96,5642,-3779,-291,-7498,-206,229
-35,-1,-89,7998,-5830,-631,-7531,-347,352
-32,-11,-72,9611,-3493,-2,-7531,-222,412
-33,-19,-47,11755,-910,776,-7490,-52,473
-42,-23,-30,10838,-444,3584,-7300,29,404
-57,-37,-26,8831,1822,3847,-7096,159,275
-70,-37,-21,7263,6098,5253,-6813,411,217
-70,-43,-37,4629,2579,5248,-6534,196,70
-85,-28,-29,3034,3109,6097,-6211,277,32
-76,-19,-50,893,4946,7164,-5831,332,-54
-97,-18,-69,-231,2598,7992,-5400,211,-97
-99,-18,-79,-294,2450,8137,-4969,189,-99
-102,-29,-71,-1624,4151,8254,-4531,284,-187
123,-53,-63,243,3300,7508,-4133,261,-118
-100,-42,-82,2496,0,3137,-3964,49,5
-81,-19,-68,3447,-824,1020,-3910,14,83
-78,-10,-59,2420,-778,-20,-3911,31,47
-69,-12,-63,1965,-246,-52,-3914,37,18
-79,-33,-69,1577,327,650,-3878,62,-39
-91,-50,-74,3682,-908,1275,-3811,-2,43
-97,-64,-83,4720,-1875,1768,-3717,-62,81
-85,-61,-80,7020,-2981,1907,-3616,-129,195
-75,-43,-67,7902,-2706,3455,-3429,-105,263
-75,-18,-49,7819,-814,4523,-3190,39,299
-51,-18,-54,6835,1449,5413,-2903,104,239
-78,-10,-46,4151,2763,6227,-2573,236,132
-75,-3,-43,4166,-787,6468,-2223,60,156
-69,0,-39,-64,-5009,6389,-1885,-150,-55
-53,12,-38,-2496,-1328,5503,-1593,4,-136
-62,22,-41,-2945,2527,4182,-1371,201,-135
-75,19,-53,-4109,4873,2501,-1236,326,-216
-81,15,-62,-2045,3092,792,-1194,225,-121
-80,8,-61,1015,3205,-230,-1207,235,19
-91,13,-51,1608,-973,822,-1163,52,59
-81,7,-56,1657,-2578,765,-1122,-51,52
-83,16,-60,2931,-502,-96,-1127,49,133
-77,29,-53,1934,-1312,-756,-1167,2,115
-77,32,-48,-348,-3521,-249,-1180,-104,8
-60,19,-43,-2822,-1188,-3007,-1343,7,-140
-61,17,-35,-1649,1059,-3979,-1553,145,-81
-65,3,-42,-1715,-2096,-6688,-1908,-17,-127
-72,-12,-41,-736,-412,-4802,-2162,76,-123
-58,-23,-48,-1620,-2059,-5005,-2433,-56,-204
-85,-35,-44,-4657,-1837,-5224,-2710,-6,-369
-88,-24,-42,-4723,105,-1627,-2796,110,-348
-55,-33,-61,-8897,1482,-2001,-2902,91,-591
-90,-23,-59,-7542,2962,559,-2872,234,-491
-93,-13,-90,-8161,6140,3597,-2681,356,-490
-98,-10,-99,-5442,3204,715,-2643,202,-345
-99,-12,-84,-3384,2677,-1720,-2734,196,-245
-109,-20,-65,-2638,-416,-2973,-2895,71,-224
-94,-13,-68,-1573,-733,-3498,-3080,38,-157
-99,-9,-69,-988,-475,-4441,-3316,56,-119
-103,-7,-66,-260,-1978,-5862,-3621,-7,-78
-103,-7,-62,-507,-1446,-7360,-4018,21,-92
-121,-11,-58,-1448,-1370,-7996,-4442,46,-145
-115,-9,-59,-3982,-3001,-10794,-5014,-40,-271
-97,-6,-60,-2355,-1108,-11355,-5616,37,-183
-72,-7,-67,-4490,-1343,-12720,-6303,-19,-302
-64,-22,-64,-2029,261,-6988,-6673,48,-209
-46,-22,-57,-4151,771,-4317,-6902,49,-329
-42,-25,-48,-4523,927,-473,-6927,61,-367
-31,-17,-49,-4561,2117,-846,-6973,94,-354
-25,-1,-48,-5897,1287,1746,-6880,38,-359
-27,4,-69,-8945,3169,-1113,-6939,108,-494
-36,7,-87,-6474,4170,-181,-6949,164,-362
-54,-1,-87,-3597,-622,-388,-6970,-42,-242
-49,-8,-89,-844,-266,159,-6961,-35,-113
-58,-8,-86,847,-1377,196,-6951,-72,-27
-51,-6,-87,895,-1882,228,-6939,-112,-20
-51,-8,-86,3327,-3274,945,-6888,-184,101
-38,0,-76,5036,-5085,3165,-6720,-289,202
-43,1,-72,5687,-3813,4550,-6479,-208,242
-46,3,-66,4706,-3012,4472,-6242,-151,197
-44,6,-65,6506,-1992,4447,-6002,-104,305
-60,-6,-60,7629,-3043,5051,-5734,-112,318
-66,-1,-44,8270,1645,5775,-5428,170,364
-72,-11,-38,5978,1491,5088,-5158,181,221
-94,-14,-43,4125,808,3791,-4953,160,130
-92,-15,-44,1359,-1310,4096,-4736,47,-16
-93,-5,-42,1503,-4013,2460,-4606,-80,13
-75,-11,-59,1336,-4693,4046,-4391,-171,-11
-97,14,-67,611,4185,6865,-4021,298,7
-117,-6,-75,-319,5717,6961,-3652,381,-79
-116,-20,-77,2671,2077,5630,-3353,189,50
-109,-13,-69,3973,-561,3748,-3155,61,125
-99,-5,-65,4111,82,2084,-3042,93,150
-87,-5,-68,3918,-1276,742,-3003,4,135
-87,-11,-70,4417,-2075,1331,-2932,-41,148
-90,-18,-73,5818,-3381,1762,-2839,-109,207
-99,-20,-72,5214,-3375,1808,-2741,-101,180
-98,-28,-76,6383,-3132,1492,-2662,-95,222
-100,-23,-67,6916,-3114,1085,-2605,-78,255
-81,-28,-61,6004,-2240,2546,-2472,-48,185
-75,-10,-48,5325,726,4453,-2236,125,192
-76,2,-44,2229,-2169,3948,-2023,-12,71
-52,5,-48,2846,748,4810,-1768,90,111
-84,17,-38,779,2177,3739,-1570,227,29
-59,2,-34,3736,-1809,2727,-1425,7,148
-67,19,-19,912,3972,1874,-1324,338,57
-71,22,-15,-3155,2307,-173,-1333,254,-143
-61,10,-30,-4236,3125,1805,-1237,272,-233
-59,20,-63,-2891,1936,3692,-1042,126,-146
-79,22,-82,1867,3568,2533,-905,218,89
-92,24,-62,1746,828,850,-860,120,86
-78,16,-59,-63,-2999,1471,-782,-83,-16
-75,20,-66,-42,-1141,1059,-726,-6,-7
-77,29,-68,2272,360,-852,-772,64,129
-82,43,-58,2636,-1889,-3148,-939,-40,175
-66,24,-59,234,-4704,-5939,-1253,-193,21
-70,28,-43,1383,-2778,-8098,-1683,-65,95
-65,4,-43,-57,-2348,-7934,-2111,-34,-42
-65,-15,-41,1870,262,-5819,-2420,97,-2
-68,-24,-38,-704,-5147,-7542,-2819,-173,-155
-75,-25,-28,-960,1583,-3789,-3020,194,-172
-71,-31,-36,-3698,-868,-2348,-3147,41,-327
-86,-28,-47,-7029,-1298,-3424,-3328,24,-473
-79,-30,-71,-7602,1306,-2517,-3462,112,-501
-100,-32,-84,-6677,-1032,-2589,-3599,0,-446
-104,-52,-66,-6105,1298,-508,-3627,132,-460
-122,-56,-60,-5023,-366,1417,-3551,67,-397
-101,-34,-72,-2244,215,-1845,-3649,78,-228
-97,-20,-53,-958,-475,-3447,-3832,75,-141
-105,-13,-42,-2868,-1018,-4087,-4053,76,-228
-97,-22,-44,-4698,-1121,-5503,-4344,55,-339
-104,-19,-48,-6061,1335,-7833,-4759,183,-397
-109,-21,-58,-6708,3117,-9304,-5253,262,-433
-92,-23,-67,-4497,1530,-11008,-5847,149,-330
-87,-22,-78,-3514,-2473,-10714,-6415,-76,-274
-63,-25,-72,-1335,-1354,-6585,-6764,-49,-179
-59,-18,-67,-3482,-1339,-7320,-7152,-45,-276
-41,-23,-64,-948,1798,-444,-7176,80,-169
-42,-15,-54,-3752,2425,-3224,-7347,132,-292
-27,-33,-55,-2676,862,-1794,-7442,-1,-300
-31,-4,-47,-3477,2285,-900,-7490,112,-248
-31,-22,-66,-6226,2216,1588,-7404,72,-441
-40,13,-69,-6732,2593,-58,-7407,112,-355
-47,-5,-92,-6048,2993,256,-7393,122,-371
-49,-9,-96,-2527,33,-320,-7410,-27,-200
-52,-10,-93,1044,-1837,95,-7405,-117,-19
-38,-6,-93,1357,-2438,256,-7392,-173,3
-48,-9,-92,2374,-4040,-982,-7444,-233,47
-35,5,-83,4823,-3930,-1424,-7518,-243,203
-28,-8,-79,5886,-5078,-848,-7564,-323,231
-40,-12,-62,7683,-4029,2653,-7423,-213,301
-46,-15,-53,8661,-266,6286,-7090,6,340
-53,-30,-53,8172,-74,7219,-6707,22,277
-78,-24,-43,6924,157,8541,-6246,99,245
-71,-17,-44,5658,524,9112,-5763,113,189
-73,-14,-47,3580,2728,9631,-5252,224,93
-101,-18,-51,1939,2716,9552,-4746,246,9
-90,-17,-59,4466,2093,5938,-4426,192,143
-83,-2,-71,2296,1735,5424,-4138,148,60
-94,-6,-84,1122,781,4817,-3883,95,-7
121,-41,-58,1967,3776,8023,-3457,302,-13
-101,-30,-74,1744,-2138,2901,-3301,-42,-15
-78,-12,-71,3980,-811,2789,-3153,9,124
-75,-13,-66,3781,-118,2733,-3008,47,110
-81,-15,-67,4138,-1924,2428,-2879,-37,125
-86,-21,-71,4593,-1798,3117,-2711,-33,143
-91,-27,-73,4610,-3387,3688,-2515,-113,129
-96,-31,-78,4780,-1918,4540,-2275,-40,134
-100,-33,-76,6753,-4926,4248,-2050,-187,233
-86,-24,-64,8216,-4887,3020,-1887,-186,322
-81,-22,-51,7163,-4261,4328,-1657,-133,260
-75,-18,-39,6517,-2959,6405,-1318,-47,231
-77,-3,-29,5854,-2185,8450,-870,26,237
-78,10,-29,2753,40,6893,-498,138,118
-80,27,-32,-504,-1948,6217,-168,10,-7
-69,44,-32,-3085,-1675,1714,-77,-17,-87
-55,25,-28,-3784,3253,-469,-102,248,-156
-72,29,-30,-1729,3504,2165,14,282,-59
-69,23,-47,-1252,-1113,1940,117,16,-52
-73,22,-53,951,3238,-89,112,232,52
-87,20,-51,1269,2760,295,128,232,58
-96,26,-48,1315,-675,721,167,67,71
-88,22,-57,3555,267,-104,161,95,177
-95,31,-48,3515,-2343,-1828,64,-21,192
-82,31,-38,5617,-5309,-560,34,-173,311
-89,41,-30,1478,-8433,-5291,-250,-334,119
-71,28,-39,261,-3433,-7631,-655,-90,39
-88,11,-27,-1424,-2756,-7543,-1055,5,-95
-75,2,-26,-2664,-1176,-8565,-1509,84,-180
-86,-14,-24,-4136,-1009,-8538,-1970,95,-302
-71,-48,-25,-4497,-1018,-7037,-2343,18,-411
-69,-38,-24,-5591,-2145,-4249,-2568,-19,-445
-80,-36,-24,-5555,4482,-293,-2583,334,-428
-93,-51,-40,-7724,-2322,-3951,-2797,-39,-559
-92,-18,-58,-6726,-732,-1466,-2874,50,-431
-103,-44,-63,-6886,995,1130,-2815,124,-482
-117,-60,-43,-5206,-40,2452,-2685,89,-419
-121,-48,-45,-2790,-270,1379,-2610,92,-278
-101,-30,-47,-1994,-385,-2120,-2722,86,-213
-91,-18,-34,-2030,1032,-2772,-2869,181,-198
-101,-17,-36,-3776,2088,-2515,-3003,241,-281
-118,-30,-36,-4502,600,-4812,-3258,165,-335
-121,-34,-35,-4356,-1595,-7042,-3638,50,-338
-109,-38,-39,-4781,-1409,-7032,-4011,41,-368
-112,-25,-42,-5617,-162,-6646,-4363,117,-385
-86,-29,-51,-5673,-120,-8930,-4836,77,-406
-76,-14,-49,-6770,2145,-8452,-5293,197,-438
-59,-21,-62,-5637,5655,-1885,-5393,316,-393
-71,-4,-61,-4607,1169,-2917,-5547,118,-297
-33,-22,-71,-3143,4915,-179,-5557,208,-274
-53,-19,-61,-2086,4286,1540,-5474,243,-212
-37,-23,-64,-1921,-1837,471,-5449,-118,-219
-32,-22,-53,-2368,136,1248,-5383,-14,-251
-38,2,-66,-5336,1266,1977,-5280,45,-309
-61,-2,-89,-5130,-946,1227,-5214,-48,-321
-56,-7,-86,-142,861,-1217,-5278,39,-75
-57,-10,-80,1574,424,-789,-5320,24,4
-64,-9,-78,1171,-934,-617,-5353,-29,-12
-60,-6,-85,25,-2736,-1497,-5433,-139,-65
-47,6,-87,3453,-4515,-434,-5457,-254,140
-51,-2,-73,3158,-6183,378,-5436,-311,102
-39,2,-63,5180,-4415,2578,-5300,-234,218
-44,-17,-56,7463,-442,3931,-5088,-11,281
-66,-19,-39,8517,953,4451,-4852,135,324
-61,-11,-35,8607,2206,5767,-4546,209,349
-72,-20,-27,6989,739,4501,-4307,159,244
-78,-21,-38,4188,-29,4924,-4041,103,110
-113,-32,-38,3692,-1530,5291,-3761,48,74
-101,-25,-51,2491,-3644,2706,-3618,-81,24
-89,-23,-58,2312,2405,2673,-3476,204,17
-106,-25,-53,1570,-676,603,-3443,70,-17
-101,-20,-65,-1144,4387,3906,-3236,308,-149
126,-38,-60,2686,1487,3795,-3035,181,24
-105,-38,-58,3113,-2273,1766,-2941,-27,36
-86,-28,-54,3481,-1404,630,-2907,7,67
-87,-27,-53,2495,-337,669,-2872,67,15
-89,-41,-61,3625,-2320,1405,-2797,-54,48
-88,-40,-61,6210,-1932,2304,-2675,-36,181
-84,-29,-56,4887,521,2870,-2520,99,136
-79,-34,-50,3315,5809,4314,-2292,366,36
-93,-34,-59,3109,5022,3980,-2081,331,36
-100,-36,-70,5590,1024,2856,-1929,121,166
-101,-23,-63,9931,-3829,2801,-1778,-111,419
-67,-27,-63,7738,-5875,1768,-1684,-259,275
-85,-8,-40,10437,494,9314,-1190,143,458
-70,-6,-33,7087,-4579,11030,-606,-114,288
-64,9,-25,4942,-3504,12377,61,-49,234
-65,6,-23,426,-2480,6256,393,13,-8
-69,19,-19,-369,137,3262,566,141,-9
-73,24,-25,-2587,1691,2859,718,205,-114
-78,21,-41,-3935,4140,534,746,313,-202
-89,18,-48,-1988,5181,-688,710,364,-111
-97,21,-47,444,2556,-13,709,239,16
-100,20,-43,1181,-3124,920,758,-40,50
-88,19,-41,1246,-3442,27,760,-65,57
-90,27,-42,1328,-191,-1592,675,95,77
-103,41,-36,-1749,-2112,-3673,480,2,-58
-81,42,-39,-5197,-4412,-4598,237,-144,-215
-61,10,-31,-1774,-975,-5782,-75,57,-110
-73,4,-16,3369,923,-5716,-378,217,132
-79,-8,-17,-205,-2846,-7947,-799,23,-84
-74,-24,-20,-1804,-1875,-5548,-1093,32,-213
-91,-26,-24,-5987,-2530,-5073,-1367,4,-424
-85,-43,-30,-5285,-5645,-5814,-1675,-192,-421
-82,-32,-31,-7358,-1690,-4921,-1936,21,-506
-81,-52,-43,-8756,99,-2318,-2059,67,-616
-94,-28,-37,-8142,649,-2378,-2187,150,-535
-90,-28,-48,-8992,2840,-466,-2212,238,-571
-113,-49,-49,-9537,4262,4672,-1964,311,-624
117,-38,-51,-3677,-3173,2785,-1817,-38,-296
-114,-36,-50,-1351,-1254,614,-1783,42,-186
-102,-24,-42,-2022,-392,-1317,-1853,100,-204
-99,-14,-38,-2619,990,-2998,-2012,181,-216
-94,-13,-33,-3077,979,-3525,-2199,186,-239
-105,-24,-29,-3829,2657,-3176,-2371,279,-301
-115,-30,-28,-3635,1695,-3895,-2577,228,-293
-117,-26,-36,-5448,225,-5403,-2863,149,-377
-116,-31,-51,-6028,978,-6649,-3216,162,-413
-105,-21,-59,-4429,1050,-7738,-3634,152,-322
-79,-21,-64,-3237,3216,-6197,-3962,223,-263
-58,-11,-64,-3386,5016,530,-3934,283,-253
-53,-8,-61,-2258,11233,2398,-3809,585,-189
-51,-3,-66,-1409,10827,-264,-3824,573,-134
-55,-3,-64,-1448,5371,-743,-3863,297,-133
-30,-4,-66,-2884,815,-3055,-4025,1,-211
-32,-15,-63,-2760,2646,-2564,-4161,102,-239
-16,-3,-72,-4434,2914,-487,-4187,64,-292
-39,-1,-87,-2846,2041,1388,-4114,62,-200
-40,-5,-88,-1362,-1299,-215,-4125,-105,-132
-45,-6,-85,1236,-2196,675,-4089,-139,-3
-44,-7,-88,928,-2975,-161,-4098,-186,-20
-45,0,-87,2725,-2582,-48,-4100,-159,85
-40,0,-86,4231,-2938,-573,-4131,-187,163
-37,5,-83,6055,-1739,-125,-4138,-129,271
-43,3,-73,7799,2116,1474,-4058,94,360
-39,-15,-72,8012,-1636,524,-4030,-110,312
-45,-29,-57,8433,-1340,3242,-3858,-65,290
-48,-37,-49,6633,-1604,5397,-3572,-67,172
-61,-42,-43,4898,-2362,7100,-3189,-80,84
-60,-36,-52,2418,3131,10869,-2613,194,-27
-81,-25,-51,1081,133,9299,-2120,88,-55
-88,-22,-57,2797,-1690,5754,-1815,-2,42
-84,-14,-62,257,-3640,4993,-1550,-111,-69
-83,-7,-61,2887,-1016,3382,-1368,22,81
-78,-8,-76,-2002,5065,4624,-1123,301,-171
-91,-13,-79,-2620,4789,4462,-886,300,-210
-98,-23,-82,45,2078,4712,-636,163,-91
